위도,경도,기관명
35.83611,128.556119,소생한의원
35.82034148,128.532987,소예랑한의원
35.81579851,128.5289728,손모아한의원
35.86088118,128.568746,손채형한의원
35.8140865,128.522687,손한의원
35.83052226,128.5518601,송현한의원
35.83456585,128.536724,수민제세한의원
35.82736263,128.5490159,수정한의원
35.85378067,128.4995541,수제통한의원
35.82596896,128.5281993,순수의뜰한의원
35.83673875,128.556342,신강한의원
35.84141675,128.5445412,신앤박한의원
35.82502825,128.5470298,신한의원
35.85581736,128.552988,아하한의원
35.8481144,128.5282579,약수한의원
35.84541093,128.5442586,약초사랑성산한의원
35.8481027,128.5288667,양생한의원
35.85021364,128.5716588,어깻바람한의원
35.8157093,128.5287619,여대원한의원
35.81730156,128.533531,영천한의원
35.81135922,128.5361248,예맥중앙한의원
35.85848585,128.5309399,예솔한의원
35.83025894,128.5503198,오덕한의원
35.8177804,128.539322,온데이한의원
35.8169662,128.513082,온아한의원 월배월성점
35.85473668,128.5308595,용산부부한의원
35.85653616,128.5213165,용산한의원
35.85025339,128.4736813,용진한의원
35.8321697,128.5522922,우남한의원
35.84811532,128.5280476,우리i참사랑한의원
35.85848879,128.5302756,우리들한의원
35.85586472,128.5076607,우성한의원
35.81114574,128.5253013,우종걸한의원
35.81857264,128.5375235,우한의원
35.81496073,128.5268204,월배조은한의원
35.81196993,128.5366158,월배홍한의원
35.82438159,128.5243262,월성탑한의원
35.8224185,128.5481252,월촌한결한의원
35.82364538,128.5458914,월촌한의원
35.82002923,128.5403222,윤성한의원
35.81550627,128.5236812,이경미한의원
35.8432009,128.5426605,이소연한의원
35.83793223,128.5574794,이승우한의원
35.8432852,128.5358081,이웃집한의원 대구달서점
35.80870683,128.5505912,이철상한의원
35.81855456,128.5355203,일상한의원
35.85505828,128.5044005,일침당한의원
35.8433507,128.5333849,자애한의원
35.80731242,128.5340615,자연나무한의원
35.80693632,128.5375445,자인당한의원
35.81392961,128.5214576,잘보는한의원
35.83073852,128.5518727,장수한의원
35.84484361,128.544144,장안한의원
35.85517188,128.5031058,전병욱한의원
35.83919749,128.5489316,정림한의원
35.84934214,128.5339233,정우영한의원
35.85513886,128.5213738,정인배한의원
35.80723419,128.5354331,제남한의원
35.83100789,128.5520959,제민한의원
35.86096904,128.5692228,제영한의원
35.81821486,128.5409185,제원당한의원
35.83158937,128.533151,제중한의원
35.83722401,128.5566553,조형래한의원
