연번,업소명,업태,업소주소
161,곱빼기식당,한식,"대구광역시 중구 동성로3길 20(1층 119, 120호 삼덕동1가)"
162,공동체,호프/통닭,대구광역시 중구 동성로5길 85(삼덕동1가)
163,공들인,한식,"대구광역시 중구 남성로 36(남성로, 지상1층)"
164,공원,중국식,대구광역시 중구 달성공원로8길 24(대신동)
165,공원김밥,분식,대구광역시 중구 경상감영길 100(포정동)
166,공이사,,대구광역시 중구 국채보상로 549(종로1가)
167,공평샤브칼국수앤냉면,한식,대구광역시 중구 국채보상로140길 29(동인동4가)
168,공평주(公平酒),경양식,대구광역시 중구 공평로 63(1층 공평동)
169,과정,경양식,대구광역시 중구 동성로2길 4-5(봉산동)
170,관음추어탕,한식,대구광역시 중구 경상감영1길 53(대안동)
171,광석이옛날통닭,한식,대구광역시 중구 동덕로14길 58-8(대봉동)
172,광성복어,복어취급,대구광역시 중구 봉산문화길 99(봉산동)
173,광장분식,김밥(도시락),"대구광역시 중구 달구벌대로 2100(덕산동, 메트로센터 지1층 S201호)"
174,괜스레,경양식,대구광역시 중구 공평로 26-1(2층 삼덕동2가)
175,괸당집,식육(숯불구이),대구광역시 중구 공평로8길 37(삼덕동2가)
176,교동 감나무집,한식,대구광역시 중구 국채보상로123길 20-3(문화동)
177,교동 지은심,한식,대구광역시 중구 경상감영길 212(2층 동문동)
178,교동국수,분식,대구광역시 중구 태평로 178-1(1층 태평로1가)
179,교동낙원,한식,대구광역시 중구 국채보상로 627(1층 공평동)
180,교동따로식당,한식,대구광역시 중구 국채보상로 563(1층 전동)
181,교동따로식당,한식,대구광역시 중구 경상감영1길 11(1층 포정동)
182,교동맛집호랑이네분식,분식,대구광역시 중구 동성로 70-9(동성로1가)
183,교동면옥 동인점,냉면집,대구광역시 중구 국채보상로 679-14(1층 동인동2가)
184,교동미나리,식육(숯불구이),대구광역시 중구 국채보상로 631(1층 공평동)
185,교동생고기,한식,대구광역시 중구 중앙대로 464-8(1층 북성로1가)
186,교동생선구이비빔밥,분식,"대구광역시 중구 교동길 48-1(교동, 지상1층)"
187,교동식당,한식,"대구광역시 중구 경상감영길 117-7(향촌동, 지상1층1호)"
188,교동오뎅,정종/대포집/소주방,대구광역시 중구 교동4길 31(1층 완전동)
189,교동전선생,경양식,대구광역시 중구 동성로3길 91(공평동 근린생활시설 1층 공평동)
190,교동청춘,한식,대구광역시 중구 공평로 73-1(1층 공평동)
191,교동할매빈대떡,한식,"대구광역시 중구 종로 51(지상 1,2층 종로1가)"
192,교동회관,한식,대구광역시 중구 교동4길 33-13(1층 완전동)
193,교맥동 대구종로점,식육(숯불구이),"대구광역시 중구 중앙대로81길 35(종로1가, 외1필지 종로2가 3-3)"
194,교촌치킨 남산점,호프/통닭,대구광역시 중구 남산로17길 10(1층 남산동)
195,교촌치킨중앙점,호프/통닭,대구광역시 중구 중앙대로 417-2(남일동)
196,굣간,일식,"대구광역시 중구 경상감영길 199(동문동, 지상1,2층)"
197,구공회,회집,대구광역시 중구 대봉로 220-27(대봉동)
198,구구(99)불닭발,호프/통닭,대구광역시 중구 동덕로38길 101(동인동3가)
199,구구족 배달 대구중구점,한식,대구광역시 중구 달구벌대로 2003-8(지상 2층 동산동)
200,구나경김밥,분식,대구광역시 중구 명륜로23길 91(남산동)
201,구도로통닭 대구대봉점,호프/통닭,"대구광역시 중구 대봉로47길 14(대봉동, 지상1층)"
202,구들 마라탕,중국식,대구광역시 중구 국채보상로 582(미도빌딩 105호 남일동)
203,구디즈앤구르메,경양식,대구광역시 중구 국채보상로142길 26(2층 동인동4가)
204,구딸라,경양식,"대구광역시 중구 봉산문화1길 8-4(봉산동, 지상1층)"
205,구루카페(GuruCafe),호프/통닭,"대구광역시 중구 동성로4길 37(삼덕동1가, 지상3층)"
206,구르메쇼쿠도,경양식,대구광역시 중구 동성로2길 21-7(봉산동)
207,구백번식당(900번식당),한식,"대구광역시 중구 달성공원로 52(달성동, 지상1층)"
208,구봉구파스타&인생국수,경양식,대구광역시 중구 큰장로26길 25(서문시장2지구-서-132호 대신동)
209,구오,일식,대구광역시 중구 달구벌대로445길 44-25(1층 삼덕동3가)
210,구일,한식,대구광역시 중구 동성로12길 4(동성로2가)
211,구쯔(goods),기타,"대구광역시 중구 달구벌대로440길 9-9(대봉동, 지하1층, 지상1층)"
212,구크텐,일식,대구광역시 중구 큰장로22길 25(1층 대신동)
213,구트(gut),경양식,"대구광역시 중구 동성로 19-9(사일동, 지상1층)"
214,국밥관,한식,대구광역시 중구 명덕로 179(1층 남산동)
215,국수 명가(삼덕점),한식,대구광역시 중구 동덕로 110-1(삼덕동2가)
216,국수마당,한식,"대구광역시 중구 경상감영길 21-1(서문로1가, 지상1층)"
217,국수먹는날,한식,대구광역시 중구 경상감영1길 4(전동)
218,국수한끼,한식,"대구광역시 중구 동덕로 33(12동 1층 19호 대봉동, 청운맨션아파트)"
219,국시선생,한식,"대구광역시 중구 공평로 105(교동, 노마즈하우스 105호)"
220,국일관,한식,"대구광역시 중구 국채보상로 492-28(1,2층 동산동)"
221,국일따로국밥,탕류(보신용),대구광역시 중구 국채보상로 571(1층 전동)
222,국일불갈비,한식,대구광역시 중구 태평로 172(1층 태평로1가)
223,국일삼계탕,탕류(보신용),대구광역시 중구 달성로 73(1층 시장북로)
224,국일생갈비,식육(숯불구이),대구광역시 중구 국채보상로 492(동산동)
225,국제,한식,대구광역시 중구 경상감영길 111(포정동)
226,국제,한식,"대구광역시 중구 경상감영길 117-7(향촌동, 지하1층 70호)"
227,국제2,기타,"대구광역시 중구 경상감영길 117-7(향촌동, 지하1층 70호)"
228,국화정원,한식,대구광역시 중구 동덕로 127(삼덕동2가)
229,군위식당,한식,대구광역시 중구 경상감영길 101(포정동)
230,굴마을굴국밥시청점,한식,대구광역시 중구 국채보상로131길 13(동인동2가)
231,굴방(OYSTER ROOM),한식,대구광역시 중구 동성로12길 21(1층 문화동)
232,굽네치킨 남산대신점,호프/통닭,대구광역시 중구 명덕로 91-1(1층 남산동)
233,굽네치킨 대구대봉점,호프/통닭,"대구광역시 중구 대봉로 268(대봉동, 지상1층)"
234,굿또스시,일식,"대구광역시 중구 달구벌대로447길 37(삼덕동3가, 지상1층)"
235,궁채,한식,대구광역시 중구 달구벌대로 2085(동아쇼핑10층 덕산동)
236,귀로,한식,"대구광역시 중구 명륜로 126(대봉동, 지상1층)"
237,귀족,식육(숯불구이),대구광역시 중구 대봉로 221(대봉동)
238,규원,한식,대구광역시 중구 종로 57-1(1층 종로1가)
239,규카츠정,일식,대구광역시 중구 동성로2길 49-12(지상 1층 공평동)
240,그레이티그레,기타,대구광역시 중구 경상감영길 288(2층 동인동2가)
241,그로브(GROVE),경양식,대구광역시 중구 동성로3길 12-7(지하1층 삼덕동1가)
242,그루브,호프/통닭,"대구광역시 중구 공평로 39(삼덕동1가, 지상1층)"
243,그린,기타,대구광역시 중구 동덕로36길 9-4(동인동1가)
244,그린비,일식,대구광역시 중구 중앙대로 406-16(남일동)
245,그옛날소국밥,한식,대구광역시 중구 약령길 16-12(1층 계산동2가)
246,그자리가면,한식,대구광역시 중구 서성로 25-9(지상1층 계산동1가)
247,글레어,호프/통닭,대구광역시 중구 동성로3길 58-9(4층 공평동)
248,글로어,경양식,대구광역시 중구 국채보상로142길 29(1층 동인동4가)
249,글루미(gloomy),경양식,"대구광역시 중구 달구벌대로 2113-2(1,2층 봉산동)"
250,금강,한식,대구광역시 중구 북성로7길 6(수창동)
251,금강로스구이,식육(숯불구이),대구광역시 중구 국채보상로 570-18(전동)
252,금강장어회해산물전문점,호프/통닭,대구광역시 중구 공평로10길 50(1층 삼덕동2가)
253,금강장어회해산물전문점,한식,대구광역시 중구 공평로10길 50(2층 삼덕동2가)
254,금금,한식,대구광역시 중구 동덕로30길 106(지상2층 삼덕동3가)
255,금덕푸드,기타,대구광역시 중구 달구벌대로 2077(현대백화점 지하1층 계산동2가)
256,금돈미가,한식,대구광역시 중구 대봉로 190-1(지상 1층 대봉동)
257,금룡,중국식,"대구광역시 중구 명덕로 333(대봉동, 대백프라자 식품관)"
258,금릉,중국식,대구광역시 중구 국채보상로139길 31-56(동인동1가)
259,금목정,냉면집,대구광역시 중구 명덕로 333(11층 대봉동)
260,금방,한식,대구광역시 중구 경상감영길 286-49(1층 동인동2가)
261,금보식당포차,한식,대구광역시 중구 북성로3길 15(1층 인교동)
262,금복주류 동성로점,정종/대포집/소주방,"대구광역시 중구 동성로5길 79(삼덕동1가, 지상1층)"
263,금복주류 동성로점,호프/통닭,대구광역시 중구 동성로5길 79(삼덕동1가)
264,금빛짬뽕전문점,중국식,대구광역시 중구 태평로 177(태평로1가)
265,금성무,기타,대구광역시 중구 교동3길 36(1층 완전동)
266,금성식당,한식,대구광역시 중구 국채보상로101길 20(인교동)
267,금솔,한식,"대구광역시 중구 명덕로 333(대봉동, 대백프라자 식품관)"
268,금와식당,한식,대구광역시 중구 서성로 3(동산동)
269,금이옥 식당,한식,대구광역시 중구 국채보상로143길 2(동인동4가)
270,금화루,중국식,대구광역시 중구 경상감영길 29(서문로1가)
271,기산반점,중국식,대구광역시 중구 국채보상로142길 45(동인동4가)
272,기주,한식,대구광역시 중구 교동4길 33-20(1층 동문동)
273,긱(GEEK),경양식,대구광역시 중구 교동4길 23(1층 완전동)
274,긴류오사카,일식,대구광역시 중구 종로 58(종로1가)
